County,Price(€),NotFullMarketPrice,VATExclusive,DescriptionofProperty,log_price,SaleYear,SaleMonth,Region,YearMonth,SaleMonthIndex,Region_Encoded
Cork,90000.0,0,0,0,11.407576060361786,2016,4,Cork,201604,4,12.000150643676768
Cork,185022.0,0,1,1,12.128235420657155,2016,5,Cork,201605,5,12.000150643676768
Galway,172000.0,0,0,0,12.055255569732177,2016,12,Galway,201612,12,11.821055771589778
Dublin,220000.0,0,0,0,12.301387370778713,2016,8,DUBLIN3,201608,8,12.637029441038866
Dublin,200000.0,0,0,0,12.206077645517674,2016,3,DUBLIN_OTHER,201603,3,12.705570117352767
Cork,47000.0,1,0,0,10.757924157061597,2016,3,Cork,201603,3,12.000150643676768
Wicklow,260000.0,0,0,0,12.468440756144114,2016,7,Wicklow,201607,7,12.52870619122338
Cork,183000.0,0,1,1,12.117246896289505,2016,11,Cork,201611,11,12.000150643676768
Cork,356000.0,0,0,0,12.782688818818986,2016,8,Cork,201608,8,12.000150643676768
Donegal,25000.0,0,0,0,10.12667110305036,2016,5,Donegal,201605,5,11.375411297981437
Tipperary,67500.0,0,0,0,11.119897691565695,2016,12,Tipperary,201612,12,11.563686685039686
Dublin,415000.0,0,0,0,12.936036208848488,2016,11,DUBLIN_OTHER,201611,11,12.705570117352767
Cork,30000.0,0,0,0,10.308985993422082,2016,12,Cork,201612,12,12.000150643676768
Wexford,86000.0,0,0,0,11.362114203075018,2016,1,Wexford,201601,1,11.66416800178687
Louth,222466.0,0,1,1,12.312534054981992,2016,2,Louth,201602,2,11.72411722774131
Dublin,275000.0,0,0,0,12.524530013005734,2016,4,DUBLIN_OTHER,201604,4,12.705570117352767
Dublin,285000.0,0,1,1,12.560247968016562,2016,7,DUBLIN_OTHER,201607,7,12.705570117352767
Limerick,221233.0,0,1,1,12.30697624387104,2016,12,Limerick,201612,12,11.598075862329463
Dublin,991189.0,0,1,1,13.806661520464903,2016,7,DUBLIN_OTHER,201607,7,12.705570117352767
Westmeath,196000.0,0,0,0,12.185875040240456,2016,5,Westmeath,201605,5,11.548741171685151
Dublin,305000.0,0,0,0,12.628070334272698,2016,10,DUBLIN7,201610,10,12.490396830588164
Dublin,1025000.0,0,0,0,13.840204146163924,2016,12,DUBLIN_OTHER,201612,12,12.705570117352767
Limerick,237004.0,0,1,1,12.375836516941142,2016,10,Limerick,201610,10,11.598075862329463
Limerick,182000.0,0,0,0,12.111767460549332,2016,4,Limerick,201604,4,11.598075862329463
Wicklow,360000.0,0,0,0,12.793862088206213,2016,11,Wicklow,201611,11,12.52870619122338
Dublin,229074.0,0,1,1,12.341804739833414,2016,10,DUBLIN_OTHER,201610,10,12.705570117352767
Kildare,396475.77,0,1,1,12.89037273069885,2016,10,Kildare,201610,10,12.288557581795198
Laois,145000.0,0,0,0,11.884495917930655,2016,9,Laois,201609,9,11.602198135075064
Dublin,545000.0,0,0,0,13.208542908506082,2016,4,DUBLIN_OTHER,201604,4,12.705570117352767
Dublin,170000.0,0,0,0,12.04355959836804,2016,4,DUBLIN22,201604,4,12.18459303820431
Clare,185000.0,0,0,0,12.128116509451258,2016,11,Clare,201611,11,11.657350873570417
Meath,170000.0,0,0,0,12.04355959836804,2016,3,Meath,201603,3,12.181119578595398
Leitrim,141000.0,0,0,0,11.856522261533735,2016,1,Leitrim,201601,1,11.056810921982729
Waterford,550000.0,0,0,0,13.21767537538882,2016,10,Waterford,201610,10,11.642599181212411
Kildare,270000.0,1,0,0,12.506180941677355,2016,8,Kildare,201608,8,12.288557581795198
Cork,230000.0,0,0,0,12.345838935721968,2016,3,Cork,201603,3,12.000150643676768
Clare,108000.0,0,0,0,11.58989576532275,2016,2,Clare,201602,2,11.657350873570417
Carlow,73000.0,0,0,0,11.19822841866684,2016,4,Carlow,201604,4,11.633534130659713
Meath,225000.0,0,0,0,12.323860125621126,2016,10,Meath,201610,10,12.181119578595398
Waterford,70000.0,0,0,0,11.156264806643742,2016,5,Waterford,201605,5,11.642599181212411
Limerick,37000.0,0,0,0,10.518700218288163,2016,9,Limerick,201609,9,11.598075862329463
Dublin,507500.0,0,0,0,13.137253960339487,2016,4,DUBLIN14,201604,4,13.078096057323352
Dublin,325000.0,0,0,0,12.691583538230216,2016,9,DUBLIN4,201609,9,13.159839350701308
Limerick,160000.0,0,0,0,11.982935344196433,2016,5,Limerick,201605,5,11.598075862329463
Cork,229074.0,0,1,1,12.341804739833414,2016,5,Cork,201605,5,12.000150643676768
Limerick,167000.0,0,0,0,12.025755079404917,2016,8,Limerick,201608,8,11.598075862329463
Dublin,362500.0,0,0,0,12.80078251189375,2016,3,DUBLIN15,201603,3,12.471420697210595
Wicklow,500000.0,0,0,0,13.122365377402328,2016,5,Wicklow,201605,5,12.52870619122338
Kildare,370000.0,0,0,0,12.821260987319455,2016,2,Kildare,201602,2,12.288557581795198
Dublin,475000.0,0,0,0,13.07107218827772,2016,3,DUBLIN14,201603,3,13.078096057323352
Roscommon,115000.0,0,0,0,11.652696102959752,2016,10,Roscommon,201610,10,11.220952494221892
Kildare,616000.0,0,0,0,13.331003865890963,2016,11,Kildare,201611,11,12.288557581795198
Kildare,267500.0,1,0,0,12.496878583628968,2016,2,Kildare,201602,2,12.288557581795198
Cavan,155000.0,0,0,0,11.951186847493476,2016,11,Cavan,201611,11,11.260762509440198
Kerry,40000.0,0,0,0,10.59665973278358,2016,7,Kerry,201607,7,11.703319087828566
Donegal,100000.0,0,0,0,11.51293546492023,2016,9,Donegal,201609,9,11.375411297981437
Dublin,215000.0,0,0,0,12.278397958261774,2016,10,DUBLIN_OTHER,201610,10,12.705570117352767
Galway,255000.0,1,0,0,12.449022745701502,2016,7,Galway,201607,7,11.821055771589778
Cork,230000.0,0,0,0,12.345838935721968,2016,4,Cork,201604,4,12.000150643676768
Cork,157500.0,0,0,0,11.967187086434018,2016,8,Cork,201608,8,12.000150643676768
Dublin,92217.27,1,0,0,11.431913546096554,2016,10,DUBLIN11,201610,10,12.092453474754603
Galway,50000.0,0,0,0,10.819798284210286,2016,8,Galway,201608,8,11.821055771589778
Monaghan,146388.0,0,1,1,11.89402274107443,2016,11,Monaghan,201611,11,11.538170954648892
Clare,165000.0,0,0,0,12.013706813470414,2016,2,Clare,201602,2,11.657350873570417
Kildare,211453.74,0,1,1,12.261766259296346,2016,11,Kildare,201611,11,12.288557581795198
Dublin,2500000.0,0,0,0,14.731801689838347,2016,11,DUBLIN_OTHER,201611,11,12.705570117352767
Cork,105000.0,0,0,0,11.561725152903833,2016,8,Cork,201608,8,12.000150643676768
Galway,55171.39,0,0,0,10.918217925973442,2016,6,Galway,201606,6,11.821055771589778
Dublin,228844.09,0,1,1,12.34080059075003,2016,11,DUBLIN_OTHER,201611,11,12.705570117352767
Kildare,285000.0,0,0,0,12.560247968016562,2016,10,Kildare,201610,10,12.288557581795198
Galway,47000.0,0,0,0,10.757924157061597,2016,6,Galway,201606,6,11.821055771589778
Dublin,535000.0,0,0,0,13.190023895035274,2016,1,DUBLIN_OTHER,201601,1,12.705570117352767
Laois,40000.0,0,0,0,10.59665973278358,2016,12,Laois,201612,12,11.602198135075064
Galway,154000.0,0,0,0,11.944714374881176,2016,7,Galway,201607,7,11.821055771589778
Dublin,308370.0,0,1,1,12.639058882527426,2016,8,DUBLIN_OTHER,201608,8,12.705570117352767
Carlow,76000.0,0,0,0,11.23850177707664,2016,9,Carlow,201609,9,11.633534130659713
Cork,155000.0,0,0,0,11.951186847493476,2016,3,Cork,201603,3,12.000150643676768
Donegal,191000.0,0,0,0,12.160033942617156,2016,5,Donegal,201605,5,11.375411297981437
