Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
21/03/2017,"52 DUNARD RD, DUBLIN 7, DUBLIN",Dublin,,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/07/2017,"BALLYNAGALL, KNOCKDRIN, MULLINGAR",Westmeath,,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/05/2017,"18 Ashfield Park, Ridgewood, Forrest Road",Dublin,,"€298,425.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
23/10/2017,"2 CROMCASTLE DR, COOLOCK, DUBLIN 5",Dublin,,"€162,269.57",No,No,Second-Hand Dwelling house /Apartment,
22/12/2017,"26 ANNAGH DUNN, INAGH, ENNIS",Clare,,"€177,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/02/2017,"10 ST MUREDACHS TERRACE, BALLINA, MAYO",Mayo,,"€15,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2017,"KNOCKON POWER, COLLIGAN, DUNGARVAN",Waterford,,"€209,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/07/2017,"36 SALLYBROOK, ABBEYSIDE, DUNGARVAN",Waterford,,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/06/2017,"79 Crenigans Banog, Milltown Road, Ashbourne",Meath,,"€304,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
22/12/2017,"5 LIFFEY VIEW, NEWBRIDGE, KILDARE",Kildare,,"€195,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
18/10/2017,"42 THE HAZELS, ELMFIELD, LEOPARDSTOWN",Dublin,,"€337,363.64",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
10/07/2017,"24 CLONMAGADDEN FORT, CLONMAGADDEN, NAVAN",Meath,,"€226,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/05/2017,"21 Cloch Chora, Corofin",Galway,,"€140,969.16",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
01/06/2017,"CLAREPATRICK, WOODSIDE ROAD, DUBLIN 18",Dublin,,"€450,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/11/2017,"9 POINTE BOISE, 107-109 UPPER SALTHILL, GALWAY",Galway,,"€268,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/07/2017,"11 THE CHESTNUT, LORETTO WOOD, CAVAN",Cavan,,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/11/2017,"74 STATION LANE, SWELLAN, CAVAN",Cavan,,"€93,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/03/2017,"47 DUNARUS, BISHOP O'DONNELL ROAD, GALWAY",Galway,,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2017,"87 BENBURB ST, DUBLIN 7, DUBLIN",Dublin,,"€189,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/11/2017,"CEDARWOOD HOUSE, SUMMERHILL DESEMNE, SUMMERHILL",Meath,,"€580,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/02/2017,"SAINT BRIGID'S ST, BALLINAMORE, LEITRIM",Leitrim,,"€56,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/07/2017,"3 Hamilton Walk, Royal Canal Park, Ratoath Road",Dublin,,"€295,100.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
19/10/2017,"1 THE WOOD, INSE BAY, LAYTOWN",Meath,,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/12/2017,"214 CITY CAMPUS, LORD EDWARD STREET, LIMERICK",Limerick,,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/09/2017,"63 THE WILLOWS, GORTANIR, CASTLEMARTYR",Cork,,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/06/2017,"196 MOOREFIELD PARK, NEWBRIDGE, KILDARE",Kildare,,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
