Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
23/12/2020,"BAYVIEW COTTAGE, GREENANE, KILLARNEY",Kerry,,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/02/2020,"APT 63, KNOCKLYON, CLONMACKEN",Limerick,V94E1N0,"€143,281.25",No,No,Second-Hand Dwelling house /Apartment,
12/02/2020,"43 GLENDOWN AVE, TEMPLEOGUE, DUBLIN 6W",Dublin,,"€710,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/03/2020,"Unit 1 & 2, Rahillion Way, Rahillion Walk",Dublin,,"€529,304.07",Yes,Yes,New Dwelling house /Apartment,
15/01/2020,"17 HILLVIEW, LUDDEN, BUNCRANA",Donegal,,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/05/2020,"6 THE LAURELS, REGENTS HALL, RACE LANE",Meath,,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/09/2020,"82 SPRINGFIELD GROVE, ROSSMORE VILLAGE, DUNDRUM RD",Tipperary,,"€112,192.63",Yes,No,Second-Hand Dwelling house /Apartment,
04/12/2020,"25 Chestnut Hill, Clonard Great, Clonard",Wexford,,"€277,533.00",No,Yes,New Dwelling house /Apartment,
30/11/2020,"12 MOYLARAGH RISE, BALBRIGGAN, DUBLIN",Dublin,,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/10/2020,"45 CUIRT NA HABHAIN, CLAREGALWAY, GALWAY",Galway,,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/04/2020,"102 THE RECTORY, ENNISKERRY RD, STEPASIDE DUBLIN 18",Dublin,,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/12/2020,"61 FINGLAS PARK, FINGLAS EAST, DUBLIN 11",Dublin,,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/02/2020,"FARM HOUSE, IRONMINES, SPA GLEN",Cork,,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/04/2020,"MELLEFONTSTOWN, BARTLEMY, FERMOY",Cork,,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/07/2020,"11 Cois Glaisin Green, Johnstown, Navan",Meath,,"€237,885.46",No,Yes,New Dwelling house /Apartment,
22/12/2020,"KNOCKNAMONA, LETTERKENNY, COUNTY DONEGAL",Donegal,,"€95,000.00",No,No,New Dwelling house /Apartment,
22/10/2020,"19 ESKER MEADOW RISE, LUCAN, DUBLIN",Dublin,,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/09/2020,"6  ST. DOMINICS ROAD, CLADDAGH, COUNTY GALWAY",Galway,,"€520,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/01/2020,"211 BAYBUSH, STRAFFAN, CO KILDARE",Kildare,,"€154,084.00",No,No,Second-Hand Dwelling house /Apartment,
20/05/2020,"HOLLYWOOD, BALLYBOUGHAL, CO DUBLIN",Dublin,,"€465,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/08/2020,"47 FAIRHAVEN WALK, CASTLEKNOCK ROAD, CASTLEKNOCK",Dublin,,"€457,317.07",No,Yes,New Dwelling house /Apartment,
22/06/2020,"2 The Grove, Broadmeadow Vale",Meath,,"€303,964.00",No,Yes,New Dwelling house /Apartment,
22/12/2020,"1A BEECH DR, DUNDRUM, DUBLIN 16",Dublin,,"€540,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/09/2020,"22 SHANNON GAEL, CARRICK ON SHANNON, ROSCOMMON",Roscommon,,"€163,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"9 ESKER MEADOW GROVE, LUCAN, MEADOW GROVE",Dublin,,"€326,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/03/2020,"102 MOUNT SION AVE, WATERFORD, WATERFORD",Waterford,,"€146,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/10/2020,"37 CROGNAHILL CLARECASTLE, CLARECASTLE, CLARE",Clare,,"€169,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/04/2020,"MARTARA, BALLYLONGFORD, CO KERRY",Kerry,,"€157,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/05/2020,"KIELBROOK TERRACE, TOWNSEND STREET, SKIBEREEN",Cork,,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/09/2020,"38 ORWELL PK RISE, DUBLIN 6W, DUBLIN",Dublin,,"€593,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/02/2020,"BUTTERCUP LODGE, CALVERSTOWN, KILCULLEN",Kildare,,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2020,"6 PEARSE PARK, WATERFORD",Waterford,,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/08/2020,"LABBAMLOGGA, GLENROE, KILMALLOCK",Limerick,,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/09/2020,"1 THE CIRCLE, GRANGE MANOR, OVENS",Cork,,"€413,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/09/2020,"APT 1 BLOCK B THE SQUARE, COACH HORSE LANE MIDLETON CO CORK",Cork,,"€162,500.00",No,No,Second-Hand Dwelling house /Apartment,
05/02/2020,"SCHOOL RD, LAHINCH, CLARE",Clare,,"€292,500.00",No,No,Second-Hand Dwelling house /Apartment,
08/06/2020,"55 RUSHEEN ARD, CLATRAGH, SLIGO",Sligo,,"€10,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/11/2020,"1 ROCHES ROW, ROCHES ST, LIMERICK",Limerick,,"€35,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2020,"32 BAYVIEW DR, WEXFORD, WEXFORD",Wexford,,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/12/2020,"68 MOUNT SUIR, GRACEDIEU, WATERFORD",Waterford,,"€109,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/09/2020,"93 BELMONT COBH, CORK",Cork,,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/03/2020,"KILLEEN, PATRICKSWELL, LIMERICK",Limerick,,"€210,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
20/11/2020,"ROSS, KILMEADEN, CO WATERFORD",Waterford,,"€247,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/05/2020,"LIOS UI BHIGIN, CILL AIRNE, KERRY",Kerry,,"€287,500.00",No,No,Second-Hand Dwelling house /Apartment,
19/06/2020,"55 SPRINGFIELDS, DOORADOYLE, LIMERICK",Limerick,,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/08/2020,"GALWAY RD, ROSCOMMON, ROSCOMMON",Roscommon,,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/03/2020,"2 ST DAVIDS TERRACE, BLACKHORSE AVE, DUBLIN 7",Dublin,,"€560,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/03/2020,"6 College View Crescent, Westport Road, Castlebar",Mayo,,"€295,000.00",No,Yes,New Dwelling house /Apartment,
26/11/2020,"TUS NUA, BLACKSTONE, DUNCORMICK",Wexford,,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/01/2020,"3 STRANDVILLE AVENUE, NORTH STRAND, DUBLIN 3",Dublin,,"€380,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/09/2020,"33 AGHNAHARNA, STRADBALLY RD, PORTLAOISE",Laois,,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2020,"20 THE PARK, KILLANE VIEW, EDENDERRY",Offaly,,"€163,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/12/2020,"37 THE GRANGE, DONORE, MEATH",Meath,,"€248,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/10/2020,"23 VERSCHOYLE CLOSE, SAGGART ABBEY, SAGGART",Dublin,,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/11/2020,"40 Kerlogue Manor, Rocksborough, Co. Wexford",Wexford,,"€214,977.97",No,Yes,New Dwelling house /Apartment,
02/04/2020,"11 CLYDE COURT, CLYDE ROAD, BALLSBRIDGE",Dublin,,"€455,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/09/2020,"units 1 - 26, Shackleton Point, Block 6   Shackleton Park",Dublin,,"€6,951,541.85",No,Yes,New Dwelling house /Apartment,
06/08/2020,"HARBOUR RD, BANAGHER, OFFALY",Offaly,,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/06/2020,"3 CASTLE DOWNS CROFT, MALAHIDE, DUBLIN",Dublin,,"€520,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/10/2020,"28 CAPTAINS AVENUE, CRUMLIN, DUBLIN 12",Dublin,,"€247,500.00",No,No,Second-Hand Dwelling house /Apartment,
02/04/2020,"CLARA RD, MOATE, CO WESTMEATH",Westmeath,,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/03/2020,"72 SEATOWN VILLAS, SWORDS, DUBLIN",Dublin,,"€427,500.00",No,No,Second-Hand Dwelling house /Apartment,
16/09/2020,"6 SUNMOUNT, BALLYVACKEY, CLONAKILTY",Cork,,"€16,666.68",No,No,Second-Hand Dwelling house /Apartment,
27/11/2020,"33 ROSCAOIN, ROS CAM, GALWAY",Galway,,"€258,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/12/2020,"69 Block D2, Sraith Fhada, Doughiska",Galway,,"€198,237.00",No,Yes,New Dwelling house /Apartment,
11/12/2020,"Apartment 7  Watermark Building, Block C  Royal Canal Park, Ashtown",Dublin,,"€40,000.00",No,Yes,New Dwelling house /Apartment,
30/07/2020,"13 COMPASS COURT NORTH, ROYAL CANAL PARK, DUBLIN 15",Dublin,,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/01/2020,"24 An Corran, Crinkill, Birr",Offaly,,"€30,000.00",No,No,New Dwelling house /Apartment,
14/02/2020,"27 CLUAIN DUBH, FATHER RUSSELL RD, LIMERICK",Limerick,,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/12/2020,"1 BALLYDUFF, KILMEADEN, WATERFORD",Waterford,,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/03/2020,"PULLATHOMAS, BALLINA, CO MAYO",Mayo,,"€20,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/09/2020,"14 SHELTON GARDENS, KIMMAGE, DUBLIN 12",Dublin,,"€512,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/05/2020,"1 APARTMENT, 4 ONTARIO TERRACE, DUBLIN 6",Dublin,,"€998,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/11/2020,"56 MC KEE ROAD, FINGLAS, DUBLIN 11",Dublin,,"€289,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/07/2020,"1A UPPER BEAUMONT DR, BALLINTEMPLE, CORK",Cork,,"€715,000.00",No,Yes,New Dwelling house /Apartment,
10/01/2020,"15 DEVALERAST, YOUGHAL, CO CORK",Cork,,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/09/2020,"MAPLE HILL COLLIGAN, DUNGARVAN, WATERFORD",Waterford,,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2020,"3 HAMPSTEAD PARK, GLASNEVIN, DUBLIN 9",Dublin,,"€688,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/11/2020,"CHURCHILL PO, LETTERKENNY, COUNTY DONEGAL",Donegal,,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/11/2020,"79 Fairfield, Dunshaughlin",Monaghan,,"€280,176.00",No,Yes,New Dwelling house /Apartment,
21/08/2020,"58 THE WILLOWS, JANEVILLE, CORK ROAD",Cork,,"€320,050.00",No,Yes,New Dwelling house /Apartment,
26/05/2020,"APT 5, THE STEEPLES, MULGRAVE ST",Limerick,,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/11/2020,"43 Rath Ullord, Kilkenny",Kilkenny,,"€396,475.00",No,Yes,New Dwelling house /Apartment,
15/04/2020,"BALLYDUFF, KILMEADEN, WATERFORD",Waterford,,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/03/2020,"1 The Thicket, Broadmeadow Vale, Ratoath",Meath,,"€378,854.00",No,Yes,New Dwelling house /Apartment,
02/11/2020,"58 Viewmount, Greenane Road, Rathdrum",Wicklow,,"€210,000.00",Yes,Yes,New Dwelling house /Apartment,
30/10/2020,"12 ROCKY VALLEY CRESCENT, KILMACOGUE, CO. WICKLOW",Wicklow,,"€830,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/11/2020,"12 HUNTLEY CRESCENT, SOUTHWAYS ABBEYSIDE, DUNGARVAN",Waterford,,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/11/2020,"1 MILLMOUNT TERRACE, DUNDRUM ROAD, DUBLIN 14",Dublin,,"€730,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/08/2020,"49 THE CEDARS, AVOURWEN, DROGHEDA",Meath,,"€245,374.00",No,Yes,New Dwelling house /Apartment,
19/11/2020,"31 LISCANNOR RD, CABRA WEST, DUBLIN 7",Dublin,,"€345,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/01/2020,"COOLEENS, 6 DOUGLAS WEST, DOUGLAS",Cork,,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/09/2020,"2 Clarendon Brook, Carr's Hill, Douglas",Cork,,"€290,000.00",Yes,Yes,New Dwelling house /Apartment,
12/06/2020,"30 CARRAIG ABHAINN, BALLISODARE, CO SLIGO",Sligo,,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/11/2020,"39 GLOUCESTER SQ, DUBLIN 1, DUBLIN",Dublin,,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/09/2020,"10 The Hazels, Ballinahinch Wood, Ashford",Wicklow,,"€339,207.05",No,Yes,New Dwelling house /Apartment,
05/02/2020,"CRIMLIN, CHAFFPOOL, TUBBERCURRY",Sligo,,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/05/2020,"17 LUS MOR WHITEROCK HILL, WEXFORD",Wexford,,"€230,800.00",No,No,Second-Hand Dwelling house /Apartment,
30/03/2020,"57 THE BRIARS, BALTRASNA PARK, ASHBOURNE",Meath,,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/03/2020,"STATION RD, FOXFORD, MAYO",Mayo,,"€94,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/04/2020,"14 SAND DUNE COTTAGES, BANNA, ARDFERT",Kerry,,"€74,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/03/2020,"TOOME, KILCOGY, CO. LONGFORD",Longford,,"€51,381.00",Yes,No,Second-Hand Dwelling house /Apartment,
04/12/2020,"DROMERIN, LISTOWEL, KERRY",Kerry,,"€112,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2020,"Ballygalogue Road, Listowel",Kerry,,"€173,546.26",Yes,Yes,New Dwelling house /Apartment,
13/08/2020,"CRESENT RD ROGERSTOWN, RUSH DUBLIN, ROGERSTOWN",Dublin,,"€150,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
24/04/2020,"LISCORMACK, KILDYSART, CLARE",Clare,,"€241,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/07/2020,"60 FIELBROOK, DUBLIN RD, PORTLAOISE",Laois,,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/09/2020,"9 EMERALD SQ, CORK ST, DUBLIN 8",Dublin,,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/04/2020,"7 The Green, Old Grange Wood, Monasterervin",Kildare,,"€224,669.60",No,Yes,New Dwelling house /Apartment,
21/05/2020,"60 CLANREE RD, DONNYCARNEY, DUBLIN 5",Dublin,,"€360,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/01/2020,"1 COLTHURST MEWS, HUNTINGTON GLEN, LUCAN",Dublin,,"€342,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2020,"MOY, KINVARA, COUNTY GALWAY",Galway,,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2020,"87 Kilbelin Abbey, Athgarvan Road, Newbridge",Kildare,,"€346,000.00",No,Yes,New Dwelling house /Apartment,
26/08/2020,"21 Ashwood Hall, Back Road, Malahide",Dublin,,"€666,263.87",No,Yes,New Dwelling house /Apartment,
18/05/2020,"ALTAMONT STREET, WESTPORT, CO MAYO",Mayo,F28R244,"€117,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2020,"77 PATRICK ST, FERMOY, CORK",Cork,,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/01/2020,"10 JAMES ST, CLONMEL, TIPPERARY",Tipperary,,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/01/2020,"16 SLI NA BRADAIN, CLAREGALWAY, GALWAY",Galway,,"€372,500.00",No,No,Second-Hand Dwelling house /Apartment,
30/10/2020,"CREENAGH, KILLESHANDRA, CAVAN",Cavan,,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/02/2020,"32 WOLFE TONE ST, CAVAN, CAVAN",Cavan,,"€40,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/11/2020,"87 CNOC ARD, CULLENAGH, BALLINA",Tipperary,,"€165,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
19/08/2020,"15 EDEN PARK DR, GOATSTOWN, DUBLIN 14",Dublin,,"€750,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/03/2020,"1 CROSSKEYS COURT, DOONANE, CRETTYARD",Laois,,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/08/2020,"2 ALPHONSUS VILLAS, HENRY STREET, LIMERICK",Limerick,,"€276,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/08/2020,"49 WESTCOURT DEMESNE, CALLAN, KILKENNY",Kilkenny,,"€190,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
10/09/2020,"67 ENNEL DR, COOLOCK, DUBLIN 5",Dublin,,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"48 CHURCHFIELDS, LOWER SALTHILL, GALWAY",Galway,,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/10/2020,"1 OAKLANDS DRIVE, SANDYMOUNT, DUBLIN 4",Dublin,,"€870,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/02/2020,"28 ARDMULLEN, KENMARE, KERRY",Kerry,,"€244,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/05/2020,"APT 81, THE MALTHOUSE, MARROWBONE LANE DUBLIN 8",Dublin,,"€241,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/12/2020,"7 Baron's Way, Lismullen Groce, Armagh Road",Louth,,"€268,722.47",No,Yes,New Dwelling house /Apartment,
16/12/2020,"56 DEAN SWIFT RD, GLASNEVIN NORTH, DUBLIN 11",Dublin,,"€385,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2020,"87 SANDYFORD RD, DUBLIN 16, DUBLIN",Dublin,,"€620,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/01/2020,"HILLVIEW, NEWCASTLE, DUBLIN",Dublin,,"€1,181,250.00",No,No,Second-Hand Dwelling house /Apartment,
22/01/2020,"69 CAISLEANN NA HABHANN, CASTLETROY, LIMERICK",Limerick,,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/09/2020,"139 GLENWOOD, DUNDALK, LOUTH",Louth,,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/05/2020,"28 SANDYCOVE, PHASE 2, BALLYMONEY",Wexford,,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/04/2020,"KILCRONE LODGE, CLOYNE, CORK",Cork,,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/11/2020,"SCRAHAN, COOLEA, COUNTY CORK",Cork,,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/10/2020,"2 White Pines Meadow, Stocking Avenue, Rathfarnham",Dublin,,"€392,070.00",No,Yes,New Dwelling house /Apartment,
08/09/2020,"59 BELGIUM PARK, MONAGHAN, MONAGHAN",Monaghan,,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/02/2020,"17 CARRICK HALL LANE, EDENDERRY, CO OFFALY",Offaly,,"€177,500.00",No,No,Second-Hand Dwelling house /Apartment,
24/01/2020,"23 BENEAVIN DR, GLASNEVIN, DUBLIN 11",Dublin,,"€17,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/10/2020,"20 SION RD, GLENAGEARY, DUBLIN",Dublin,,"€700,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/04/2020,"BRACARAGH, CASTLELOVE, KERRY",Kerry,,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/03/2020,"2 SHERMOUNT PARK, TYRRELLSPASS, WESTMEATH",Westmeath,,"€134,500.00",No,No,Second-Hand Dwelling house /Apartment,
09/11/2020,"SCAVILLE, DRUMCOURA, BALLINAMORE",Leitrim,,"€29,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/03/2020,"32 CHARLEMONT RD, CLONTARF, DUBLIN 3",Dublin,,"€650,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/11/2020,"10 AGHADOE COTTAGE, OLD KILLARNEY VILLAGE, KILLARNEY",Kerry,,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/09/2020,"Apt 10 Bevin, Dunluce, Anglesea Road",Dublin,,"€1,090,922.29",No,Yes,New Dwelling house /Apartment,
16/01/2020,"7  8  9  10  19  22  24  25 and 26, Castleross Retirement Village, Castleross",Monaghan,,"€900,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/02/2020,"SKEHENERIN, LISTOWEL, KERRY",Kerry,,"€405,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2020,"18 DANGAN PARK, KIMMAGE RD WEST, DUBLIN 12",Dublin,,"€634,500.00",No,No,Second-Hand Dwelling house /Apartment,
09/11/2020,"DORE MIDDLE, BUNBEG, LETTERKENNY",Donegal,,"€89,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/02/2020,"19 REDCOURT OAKS, SEAFIELD RD EAST, CLONTARF DUBLIN 3",Dublin,,"€357,500.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2020,"133 Clonlara, Kerry Pike",Cork,,"€325,991.00",No,Yes,New Dwelling house /Apartment,
03/02/2020,"12 DUN NA MANACH, QUIN, CLARE",Clare,,"€208,500.00",No,No,Second-Hand Dwelling house /Apartment,
23/10/2020,"22 SOUTH KNOCK, NEWROSS, WEXFORD",Wexford,,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/03/2020,"21 THE COURTYARD, BRU NA GRUADAN, CASTLETROY",Limerick,,"€66,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/05/2020,"2 BELLGREE HOUSE, BOULEVARD, TYRRELSTOWN DUBLIN 15",Dublin,,"€244,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/10/2020,"BALLINGARY WEST, BELGOOLY, KINSALE",Cork,,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/07/2020,"185 BRIARWOOD AVE, MULHUDDART, DUBLIN 15",Dublin,,"€282,500.00",No,No,Second-Hand Dwelling house /Apartment,
31/01/2020,"27 Cois Glaisin Heights, Johnstown, Navan",Meath,,"€237,885.00",No,Yes,New Dwelling house /Apartment,
26/05/2020,"HOUSE 3  THE CROFT, PARC NA SILLA, LOUGHLINSTOWN",Dublin,,"€240,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
20/11/2020,"72, Beaulieu Village, Termonfeckin Road",Louth,,"€229,074.88",No,Yes,New Dwelling house /Apartment,
16/09/2020,"288 LE FANU RD, BALLYFERMOT, DUBLIN 10",Dublin,,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2020,"11 The View, Oldbridge Manor, Rathmullen",Meath,,"€246,700.00",No,Yes,New Dwelling house /Apartment,
23/10/2020,"STELLA MARIAS, 29 MAIN ST, BALDOYLE",Dublin,,"€657,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/09/2020,"CLONE, FERNS, ENNISCORTHY",Wexford,,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/11/2020,"21 THE INNINGS, OBSERVATORY LANE, RATHMINES DUBLIN 6",Dublin,,"€194,572.00",Yes,No,Second-Hand Dwelling house /Apartment,
02/07/2020,"1 BEHY VALLEY, KILNABRACK UPPER, GLENBEIGH",Kerry,,"€220,264.00",No,Yes,New Dwelling house /Apartment,
16/01/2020,"17 ABBEY CRESCENT, CAHIR, TIPPERARY",Tipperary,,"€206,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/08/2020,"34 STEPHEN ST, OFF TOWER ST, CORK",Cork,,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/04/2020,"BULLSFIELD, BARNA RD, GALWAY",Galway,,"€1,300,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/12/2020,"54 CLUAIN DROCHID, SIXMILEBRIDGE, CLARE",Clare,,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/11/2020,"16 NEW ST, NEWMARKET, CORK",Cork,,"€27,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/09/2020,"LISS, KYLEBRACK, LOUGHREA",Galway,,"€79,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/08/2020,"44 Brighton Wood, Brighton Road, Foxrock",Dublin,,"€1,124,500.00",No,Yes,New Dwelling house /Apartment,
26/08/2020,"152 CARNLOUGH RD, CABRA WEST, DUBLIN 7",Dublin,,"€335,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2020,"2A NELSON ST, ATHY, CO KILDARE",Kildare,,"€63,900.00",No,No,Second-Hand Dwelling house /Apartment,
02/11/2020,"44 FURNESS WOOD, JOHNSTOWN, NAAS",Kildare,W91CC6K,"€385,000.00",No,Yes,New Dwelling house /Apartment,
17/12/2020,"SERGEANTS LOT, GOLDEN, CASHEL",Tipperary,,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2020,"COOLE, MONASTEREVIN, KILDARE",Kildare,,"€279,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
07/07/2020,"2A Aughamore, Kilcock Road, Clane",Kildare,,"€334,801.00",No,Yes,New Dwelling house /Apartment,
13/07/2020,"BRONYAUR, CLOGHANMORE, LIFFORD",Donegal,,"€92,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/08/2020,"18 BRACKENSTOWN VILLAGE, BRACKENSTOWN RD, SWORDS",Dublin,,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2020,"44 ST HELENS, KILRANE, ROSLARE",Wexford,,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2020,"25 TOURNORE PARK, ABBEYSIDE, DUNGARVAN",Waterford,,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/10/2020,"NO. 24 ABBEY GARDENS, ABBEYSIDE, DUNGARVAN",Waterford,,"€193,829.60",No,Yes,New Dwelling house /Apartment,
02/09/2020,"9 COURT LAWN WEST, MANOR FARM, MATTHEW HILL",Cork,,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/06/2020,"APT 33 BLOCK B, PARKSIDE, ABBEYLEIX RD",Laois,,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/01/2020,"45 LIOS CARA DR, KILLEENS, CORK",Cork,,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/07/2020,"166 GLANTAN, GOLF LINKS RD CASTLETROY, LIMERICK",Limerick,,"€222,500.00",No,No,Second-Hand Dwelling house /Apartment,
