County,Price(€),NotFullMarketPrice,VATExclusive,DescriptionofProperty,SaleYear,SaleMonth,Region
Waterford,52000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,NON_DUBLIN
Galway,27750.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,NON_DUBLIN
Kildare,15000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,NON_DUBLIN
Tipperary,62000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Kildare,279295.15,No,Yes,New Dwelling house /Apartment,2016,12,NON_DUBLIN
Kildare,235000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,NON_DUBLIN
Mayo,115000.0,No,Yes,New Dwelling house /Apartment,2016,5,NON_DUBLIN
Galway,223000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,NON_DUBLIN
Westmeath,132000.0,Yes,No,Second-Hand Dwelling house /Apartment,2016,10,NON_DUBLIN
Donegal,124000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,NON_DUBLIN
Offaly,155000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,NON_DUBLIN
Meath,190000.0,Yes,No,Second-Hand Dwelling house /Apartment,2016,10,NON_DUBLIN
Kildare,324375.0,No,Yes,New Dwelling house /Apartment,2016,10,NON_DUBLIN
Cork,195000.0,Yes,No,Second-Hand Dwelling house /Apartment,2016,11,NON_DUBLIN
Cork,380000.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,NON_DUBLIN
Cork,110000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,NON_DUBLIN
Dublin,320000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,DUBLIN9
Cork,320000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,NON_DUBLIN
Dublin,209199.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,DUBLIN_OTHER
Cork,55000.0,Yes,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Dublin,194000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,DUBLIN22
Clare,81000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,NON_DUBLIN
Galway,490100.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Dublin,670000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,DUBLIN2
Wexford,121000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,NON_DUBLIN
Kildare,215000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,NON_DUBLIN
Kildare,395000.0,No,Yes,New Dwelling house /Apartment,2016,10,NON_DUBLIN
Dublin,295000.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,DUBLIN3
Cork,275000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,NON_DUBLIN
Tipperary,190000.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,NON_DUBLIN
Cork,250000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Dublin,230000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,DUBLIN1
Dublin,105000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,DUBLIN_OTHER
Roscommon,57000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Cork,136000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,NON_DUBLIN
Dublin,285000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,DUBLIN24
Laois,102000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,NON_DUBLIN
Dublin,266750.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,DUBLIN8
Limerick,73000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Louth,60000.0,Yes,No,Second-Hand Dwelling house /Apartment,2016,4,NON_DUBLIN
Offaly,90000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,NON_DUBLIN
Mayo,140000.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,NON_DUBLIN
Meath,375000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,NON_DUBLIN
Dublin,169437.6,No,No,Second-Hand Dwelling house /Apartment,2016,12,DUBLIN11
Donegal,36000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Dublin,195000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,DUBLIN22
Dublin,675500.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,DUBLIN_OTHER
Donegal,162300.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,NON_DUBLIN
Donegal,100000.0,Yes,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
