Price(€),NotFullMarketPrice,VATExclusive,DescriptionofProperty,SaleYear,SaleMonthIndex,Region_Encoded
132000.0,1,0,0,2016,10,121959.42273584906
124000.0,0,0,0,2016,3,106261.99716666665
155000.0,0,0,0,2016,7,130047.27415584415
190000.0,1,0,0,2016,10,221569.53396135266
324375.0,0,1,1,2016,10,247009.80948717947
195000.0,1,0,0,2016,11,198460.38056851312
380000.0,0,0,0,2016,1,198460.38056851312
110000.0,0,0,0,2016,9,198460.38056851312
320000.0,0,0,0,2016,9,340899.4952083333
320000.0,0,0,0,2016,11,198460.38056851312
209199.0,0,0,0,2016,2,357260.4677191011
55000.0,1,0,0,2016,8,198460.38056851312
194000.0,0,0,0,2016,10,208668.59129032257
81000.0,0,0,0,2016,11,139043.13263157895
490100.0,0,0,0,2016,12,169894.25173144878
670000.0,0,0,0,2016,11,329827.0714285714
121000.0,0,0,0,2016,9,140133.58445454546
215000.0,0,0,0,2016,3,247009.80948717947
395000.0,0,1,1,2016,10,247009.80948717947
295000.0,0,0,0,2016,2,367124.02974358975
275000.0,0,0,0,2016,7,198460.38056851312
190000.0,0,0,0,2016,2,142117.9899404762
250000.0,0,0,0,2016,12,198460.38056851312
230000.0,0,0,0,2016,3,250783.76666666666
105000.0,0,0,0,2016,8,357260.4677191011
57000.0,0,0,0,2016,5,92577.4161627907
136000.0,0,0,0,2016,10,198460.38056851312
285000.0,0,0,0,2016,4,239171.1843939394
102000.0,0,0,0,2016,4,124480.02530612245
266750.0,0,0,0,2016,12,270962.0605084746
73000.0,0,0,0,2016,5,138927.53039408868
60000.0,1,0,0,2016,4,147549.79817567568
90000.0,0,0,0,2016,9,130047.27415584415
140000.0,0,0,0,2016,2,101768.53846153847
375000.0,0,0,0,2016,10,221569.53396135266
169437.6,0,0,0,2016,12,206578.08441176472
36000.0,0,0,0,2016,8,106261.99716666665
195000.0,0,0,0,2016,7,208668.59129032257
675500.0,0,0,0,2016,8,357260.4677191011
162300.0,0,0,0,2016,1,106261.99716666665
100000.0,1,0,0,2016,8,106261.99716666665
132500.0,0,0,0,2016,4,357260.4677191011
310000.0,0,1,1,2016,7,169894.25173144878
66000.0,0,0,0,2016,7,198460.38056851312
119000.0,0,0,1,2016,6,140133.58445454546
38773.56,0,1,1,2016,9,247009.80948717947
675500.0,0,0,0,2016,3,302309.9607878788
200000.0,0,0,0,2016,3,198460.38056851312
133000.0,0,0,0,2016,12,221569.53396135266
26000.0,1,0,0,2016,11,130047.27415584415
100000.0,0,0,0,2016,9,92577.4161627907
95000.0,0,0,0,2016,3,140133.58445454546
500000.0,0,0,0,2016,12,169894.25173144878
330000.0,0,0,0,2016,1,357260.4677191011
255000.0,0,0,0,2016,1,198460.38056851312
270000.0,0,0,0,2016,2,302309.9607878788
295000.0,0,0,0,2016,4,357260.4677191011
74000.0,0,0,0,2016,8,92577.4161627907
18000.0,0,0,0,2016,1,101768.53846153847
185000.0,0,0,0,2016,9,270962.0605084746
80000.0,0,0,0,2016,10,198460.38056851312
117500.0,0,0,0,2016,7,247009.80948717947
360000.0,1,0,0,2016,10,340899.4952083333
230000.0,0,0,0,2016,7,147549.79817567568
375771.0,0,1,1,2016,2,357260.4677191011
115000.0,0,0,0,2016,11,98776.01653846154
173000.0,0,0,0,2016,3,160276.71928571427
270000.0,0,0,0,2016,9,270962.0605084746
311000.0,0,0,0,2016,5,239171.1843939394
255000.0,0,0,0,2016,5,302309.9607878788
222000.0,0,1,1,2016,1,142117.9899404762
130000.0,0,0,0,2016,2,198460.38056851312
535000.0,0,0,0,2016,3,139912.4143478261
20000.0,0,0,0,2016,7,101768.53846153847
207500.0,0,0,0,2016,8,139043.13263157895
109000.0,0,0,0,2016,10,147549.79817567568
436124.0,0,1,1,2016,4,357260.4677191011
155000.0,0,0,0,2016,10,247009.80948717947
140000.0,0,0,0,2016,12,289405.2858490566
153500.0,0,0,0,2016,11,138927.53039408868
